tomp2p/TomP2P
networknt/light-4j
google/data-transfer-project
apache/kylin
CoreMedia/jangaroo-tools
iluwatar/java-design-patterns
airbnb/lottie-android
alibaba/arthas
signalapp/Signal-Android
google/gson
TeamNewPipe/NewPipe
dianping/cat
mockito/mockito
Konloch/bytecode-viewer
Netflix/zuul
theonedev/onedev
stanfordnlp/CoreNLP
spring-projects/spring-security
testcontainers/testcontainers-java
AsyncHttpClient/async-http-client
btraceio/btrace
gephi/gephi
sofastack/sofa-boot
bitcoinj/bitcoinj
TeamAmaze/AmazeFileManager
pmd/pmd
querydsl/querydsl
runelite/runelite
jitsi/jitsi
sofastack/sofa-rpc
knowm/XChange
apache/maven
undertow-io/undertow
uber/NullAway
FasterXML/jackson-databind
apache/curator
OpenHFT/Chronicle-Map
psi-probe/psi-probe
alibaba/compileflow
xbmc/Kore
TheAlgorithms/Java
apache/dubbo
bumptech/glide
netty/netty
dbeaver/dbeaver
SeleniumHQ/selenium
alibaba/canal
alibaba/nacos
alibaba/spring-cloud-alibaba
halo-dev/halo
seata/seata
apache/skywalking
alibaba/Sentinel
redisson/redisson
jenkinsci/jenkins
elunez/eladmin
apache/rocketmq
mybatis/mybatis-3
baomidou/mybatis-plus
eclipse-vertx/vert.x
GoogleContainerTools/jib
google/guice
realm/realm-java
grpc/grpc-java
zaproxy/zaproxy
apereo/cas
OpenFeign/feign
cryptomator/cryptomator
languagetool-org/languagetool
google/closure-compiler
apache/tomcat
real-logic/aeron
awsdocs/aws-doc-sdk-examples
Alluxio/alluxio
apache/zeppelin
MinecraftForge/MinecraftForge
robolectric/robolectric
micronaut-projects/micronaut-core
hazelcast/hazelcast
Nepxion/Discovery
Netflix/conductor
apache/groovy
orientechnologies/orientdb
apache/hive
AntennaPod/AntennaPod
jeremylong/DependencyCheck
javaparser/javaparser
huanghongxun/HMCL
iNPUTmice/Conversations
azkaban/azkaban
vespa-engine/vespa
rstudio/rstudio
alibaba/QLExpress
micrometer-metrics/micrometer
h2database/h2database
liquibase/liquibase
tronprotocol/java-tron
guoguibing/librec
HiddenRamblings/TagMo
mongodb/mongo-java-driver
cucumber/cucumber-jvm
takari/polyglot-maven
zhongjhATC/AlbumCameraRecorder
citrusframework/citrus
MarcusWolschon/osmeditor4android
gbif/ipt
